horse_id,horse_name,bloodline,rating,speed_rating,sprint_rating,endurance_rating,races_count,avg_position,best_position,total_stake,total_earnings,total_profit_loss,avg_odds,win_count,top3_count,avg_points_change,win_rate
273c3bda-46a0-4bca-9c66-acacb4d887d2,Well-groomed Group,BUTERIN,3.0,3.0,,,3,3.0,2,1729.17182592,1780.779022848,51.607196928,5.98,0,2,-968.0,0.0
50501896-9f7d-4cca-8d18-75d1da8bbcf6,Exotic Signal,BUTERIN,2.5,2.0,,,3,4.0,2,1762.06472064,833.922625536,-928.142095104,14.0,0,1,-985.67,0.0
7c9b1522-dbf5-4b86-a6d2-3d7ab5f485d4,Stevie Isnt Blind,FINNEY,3.0,3.0,,,3,4.0,2,2411.8430161288234,2065.0574089240313,-346.78560720479226,13.0,0,2,-988.0,0.0
3e19861f-d04a-410d-994e-c43573e6e3f9,Rev It Up,BUTERIN,2.5,,,,3,7.33,6,961.81344,0.0,-961.81344,56.0,0,0,-962.0,0.0
1888617a-0d5c-4cad-ac74-b1f8b2632274,Mountain Lilac,FINNEY,2.5,,,,3,6.33,3,1438.3643445,0.0,-1438.3643445,56.93,0,1,-957.67,0.0
4f39ecea-2c87-4fd3-aabd-a2a27cc7109b,Thorny Vacation,FINNEY,2.5,,,,3,7.0,5,1448.1151245,0.0,-1448.1151245,17.5,0,0,-971.0,0.0
543249c3-7966-4d3a-9809-be7e05b64509,Extra Large Flight,NAKAMOTO,3.0,,,,3,6.33,6,2768.8980389731078,227.22847094117648,-2541.6695680319312,11.57,0,0,-963.0,0.0
ecd0d078-32d0-4d0d-9e96-8d4dbfdd7ea2,Silly Remote,BUTERIN,3.0,2.5,,,3,5.33,4,2164.4739648,0.0,-2164.4739648,9.57,0,0,-1029.67,0.0
615e89a3-b53c-4b34-8a32-981ded74a4c4,Filthy Digs,FINNEY,3.0,,,,3,4.67,2,2177.5425013217646,1247.5424524305822,-930.0000488911826,18.93,0,1,-963.33,0.0
19343632-0afe-4cac-8637-e552b764737e,Horbert Hoover,BUTERIN,3.0,,,,3,6.67,4,1090.055232,0.0,-1090.055232,18.5,0,0,-984.67,0.0
0099b288-7a14-477c-a918-88f6c8f91df5,Somber Cancel,BUTERIN,3.0,3.0,,,3,5.0,2,2164.4739648,1035.11374848,-1129.36021632,4.93,0,1,-1029.67,0.0
de4746b3-2166-45ae-96f7-13e411af8865,Round Grandfather,BUTERIN,3.0,,,,3,5.0,2,1554.7629888,557.64930816,-997.11368064,3.05,0,1,-954.67,0.0
c687f03e-16c3-41ec-89fc-c392301e52fb,Naive Concept,SZABO,3.0,,,,3,5.33,5,2606.765414184,119.93646024,-2486.828953944,4.0,0,0,-977.0,0.0
29197c51-5782-4bfe-b35b-3b25217e8caa,Golden Hawk,BUTERIN,3.0,2.5,,,3,5.33,2,1525.7398464,809.94816,-715.7916864,15.33,0,1,-973.33,0.0
13b34513-af56-40da-a098-3c99a7688f16,Catch Me If You Can,FINNEY,2.5,2.5,,,3,4.33,3,2560.1895673980102,1172.449104414057,-1387.7404629839532,13.0,0,1,-1003.33,0.0
